,군집1,군집2,군집3,군집4,군집5
건성,0.143106077,0.120050211,0.0263259775,0.112243194,0.0957595063
복합성,0.240252668,0.224010042,0.0406504065,0.184858861,0.19092176
지성,0.0577216293,0.059682757,0.0197444832,0.0384165692,0.0585307585
민감성,0.173382705,0.158849709,0.0329074719,0.131326207,0.143937886
아토피,0.0098017861,0.0172315417,0.00425861401,0.0132370135,0.00696794744
탄력,0.0178610325,0.0166609609,0.000774293457,0.0159929848,0.00836153693
피지과다,0.00609888913,0.00410818213,0.000774293457,0.00229664273,0.00437985268
모공,0.242213025,0.232340523,0.0518776616,0.184858861,0.200875971
트러블,0.0472663908,0.0511240443,0.0112272551,0.0336144981,0.0521600637
각질,0.147462426,0.116969075,0.027100271,0.0923250376,0.102329285
잡티,0.0699194075,0.063676823,0.0135501355,0.057082011,0.0555444953
블랙헤드,0.0522761926,0.0601392217,0.0139372822,0.0479371973,0.059924348
홍조,0.0111086909,0.0130092434,0.000774293457,0.00872724236,0.00935695799
주름,0.0193857547,0.0151774506,0.00464576074,0.0178720561,0.0115468843
다크서클,0.0265737312,0.0318384115,0.00735578784,0.0261399699,0.0165239896
미백,0.102592028,0.10578569,0.018583043,0.0780440955,0.0744574955
